[2024-03-26 08:36:42,517: INFO: main: Welcome to our custom log]
[2024-04-06 11:05:32,992: INFO: common: created directory at: artifacts]
[2024-04-06 11:05:32,995: INFO: common: created directory at: artifacts\training]
[2024-04-06 11:06:22,765: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-04-06 11:06:22,788: INFO: common: yaml file: params.yaml loaded successfully]
[2024-04-06 11:06:22,796: INFO: common: created directory at: artifacts]
[2024-04-06 11:06:22,800: INFO: common: created directory at: artifacts\training]
[2024-04-06 11:08:41,962: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-04-06 11:08:41,974: INFO: common: yaml file: params.yaml loaded successfully]
[2024-04-06 11:08:41,983: INFO: common: created directory at: artifacts]
[2024-04-06 11:08:41,985: INFO: common: created directory at: artifacts\training]
[2024-04-06 11:16:50,087: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-04-06 11:16:50,095: INFO: common: yaml file: params.yaml loaded successfully]
[2024-04-06 11:16:50,097: INFO: common: created directory at: artifacts]
[2024-04-06 11:16:50,099: INFO: common: created directory at: artifacts\training]
[2024-04-06 11:16:59,951: WARNING: polymorphic_function: 5 out of the last 18 calls to <function Model.make_train_function.<locals>.train_function at 0x00000292944DFDC0> triggered tf.function retracing. Tracing is expensive and the excessive number of tracings could be due to (1) creating @tf.function repeatedly in a loop, (2) passing tensors with different shapes, (3) passing Python objects instead of tensors. For (1), please define your @tf.function outside of the loop. For (2), @tf.function has reduce_retracing=True option that can avoid unnecessary retracing. For (3), please refer to https://www.tensorflow.org/guide/function#controlling_retracing and https://www.tensorflow.org/api_docs/python/tf/function for  more details.]
[2024-04-06 11:19:13,394: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-04-06 11:19:13,405: INFO: common: yaml file: params.yaml loaded successfully]
[2024-04-06 11:19:13,410: INFO: common: created directory at: artifacts]
[2024-04-06 11:19:13,415: INFO: common: created directory at: artifacts\training]
[2024-04-06 11:22:22,953: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-04-06 11:22:22,967: INFO: common: yaml file: params.yaml loaded successfully]
[2024-04-06 11:22:22,970: INFO: common: created directory at: artifacts]
[2024-04-06 11:22:22,975: INFO: common: created directory at: artifacts\training]
[2024-04-06 11:25:34,630: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-04-06 11:25:34,642: INFO: common: yaml file: params.yaml loaded successfully]
[2024-04-06 11:25:34,646: INFO: common: created directory at: artifacts]
[2024-04-06 11:25:34,649: INFO: common: created directory at: artifacts\training]
[2024-04-06 14:14:27,882: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-04-06 14:14:27,893: INFO: common: yaml file: params.yaml loaded successfully]
[2024-04-06 14:14:27,900: INFO: common: created directory at: artifacts]
[2024-04-06 14:14:27,905: INFO: common: created directory at: artifacts\training]
[2024-04-06 14:14:56,483: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-04-06 14:14:56,488: INFO: common: yaml file: params.yaml loaded successfully]
[2024-04-06 14:14:56,490: INFO: common: created directory at: artifacts]
[2024-04-06 14:14:56,492: INFO: common: created directory at: artifacts\training]
[2024-04-06 14:15:01,838: WARNING: polymorphic_function: 6 out of the last 20 calls to <function Model.make_train_function.<locals>.train_function at 0x000002928FDFDCA0> triggered tf.function retracing. Tracing is expensive and the excessive number of tracings could be due to (1) creating @tf.function repeatedly in a loop, (2) passing tensors with different shapes, (3) passing Python objects instead of tensors. For (1), please define your @tf.function outside of the loop. For (2), @tf.function has reduce_retracing=True option that can avoid unnecessary retracing. For (3), please refer to https://www.tensorflow.org/guide/function#controlling_retracing and https://www.tensorflow.org/api_docs/python/tf/function for  more details.]
[2024-04-06 15:02:31,145: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-04-06 15:02:31,151: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-04-06 15:02:31,155: INFO: common: yaml file: params.yaml loaded successfully]
[2024-04-06 15:02:31,156: INFO: common: created directory at: artifacts]
[2024-04-06 15:02:31,156: INFO: common: created directory at: artifacts/data_ingestion]
[2024-04-06 15:02:31,157: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-04-06 15:03:12,221: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-04-06 15:03:12,689: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x============x]
[2024-04-06 15:03:12,689: INFO: main: **************************]
[2024-04-06 15:03:12,690: INFO: main: >>>>>> stage Prepare base model started <<<<<<]
[2024-04-06 15:03:12,694: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-04-06 15:03:12,696: INFO: common: yaml file: params.yaml loaded successfully]
[2024-04-06 15:03:12,697: INFO: common: created directory at: artifacts]
[2024-04-06 15:03:12,698: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-04-06 15:03:13,663: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2024-04-06 15:03:13,910: INFO: main: >>>>>> stage Prepare base model completed <<<<<<

x==============x]
[2024-04-06 15:03:13,912: INFO: main: **********************]
[2024-04-06 15:03:13,913: INFO: main: >>>>>> stage Training started <<<<<<]
[2024-04-06 15:03:13,915: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-04-06 15:03:13,917: INFO: common: yaml file: params.yaml loaded successfully]
[2024-04-06 15:03:13,918: INFO: common: created directory at: artifacts]
[2024-04-06 15:03:13,919: INFO: common: created directory at: artifacts\training]
[2024-04-06 15:04:54,322: INFO: main: >>>>>> stage Training completed <<<<<<

x==============x]
